name,developer,genre,release_date,image_url
Age of Mythology: Retold,World's Edge/Xbox Game Studios,RTS,2024-09-05,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1934680/header.jpg?t=1732647825
Astro Bot,Team Asobi/Sony,Platformer,2024-09-06,https://image.api.playstation.com/vulcan/ap/rnd/202407/0200/aac40cfde55b67abf081d5d9ebcc5e3e08aaa65a4c99424e.jpg?w=440
NBA 2K25,Visual Concepts/2K,Sports,2024-09-06,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2878980/header.jpg?t=1732898375
Warhammer 40k: Space Marine 2,Saber Interactive/Focus Entertainment,TPS,2024-09-09,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2183900/header.jpg?t=1732028471
Frostpunk 2,11 Bit Studios,City-building Survival,2024-09-20,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1601580/header.jpg?t=1732797543
The Legend of Zelda: Echoes of Wisdom,Nintendo,Action Adventure,2024-09-25,https://www.nintendo.com/eu/media/images/10_share_images/games_15/nintendo_switch_4/2x1_NSwitch_TheLegendofZeldaEchoesOfWisdom_image1600w.jpg
EA Sports FC 25,EA Sports,Sports,2024-09-27,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2669320/header.jpg?t=1730828565
Throne and Liberty,NCSoft/Amazon Games,MMORPG,2024-10-01,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2429640/header.jpg?t=1732740540
Silent Hill 2,Bloober Team/Konami,Survival horror,2024-10-08,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2124490/header.jpg?t=1728470029
Metaphor: ReFantazio,Studio Zero/Atlus/SEGA,RPG,2024-10-11,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2679460/header.jpg?t=1732700322
Super Mario Party Jamboree,Nintendo,Party,2024-10-17,https://www.nintendo.com/eu/media/images/10_share_images/games_15/nintendo_switch_4/2x1_NSwitch_SuperMarioPartyJamboree_image1600w.jpg
Factorio: Space Age,Wube Software LTD.,Strategy Survival,2024-10-21,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/645390/header.jpg?t=1729525903
Call of Duty: Black Ops 6,Treyarch/Raven Software/Activision,FPS,2024-10-25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2933620/header.jpg?t=1731604753
Sonic X Shadow Generations,Sonic Team/SEGA,Action Platformer,2024-10-25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2513280/header.jpg?t=1732875699
Life Is Strange: Double Exposure,Deck Nine/Square Enix,Narrative,2024-10-29,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1874000/header.jpg?t=1732039607
Dragon Age: The Veilguard,BioWare/EA,Action,2024-10-31,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1845910/header.jpg?t=1731593108
Mario & Luigi: Brothership,Acquire/Nintendo,RPG,2024-11-07,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/ncom/software/switch/70010000084613/9afc95d7bb55198b983e6942649af01932c45df112e8b8842e0578143dcdeaeb"
Farming Simulator 25,Giants Software,Farm Sim,2024-11-12,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2300320/header.jpg?t=1731923626
S.T.A.L.K.E.R. 2: Heart of Chornobyl,GSC Game World,FPS,2024-11-20,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1643320/header.jpg?t=1732271704
